タスク名(シフト名),リンク
麻雀準備,https://docs.google.com/document/d/1L53mQ6EHQzISrOldRuNdt8xA0sKecP3oYaV52ep_p-8/edit?usp=sharing
麻雀受付(104),https://docs.google.com/document/d/1L53mQ6EHQzISrOldRuNdt8xA0sKecP3oYaV52ep_p-8/edit?usp=sharing
麻雀受付(105),https://docs.google.com/document/d/1L53mQ6EHQzISrOldRuNdt8xA0sKecP3oYaV52ep_p-8/edit?usp=sharing
麻雀大会　準備受付1,https://docs.google.com/document/d/1L53mQ6EHQzISrOldRuNdt8xA0sKecP3oYaV52ep_p-8/edit?usp=sharing
麻雀大会　受付2,https://docs.google.com/document/d/1L53mQ6EHQzISrOldRuNdt8xA0sKecP3oYaV52ep_p-8/edit?usp=sharing
麻雀大会 2日目受付1,https://docs.google.com/document/d/1L53mQ6EHQzISrOldRuNdt8xA0sKecP3oYaV52ep_p-8/edit?usp=sharing
ポーカーディーラー,https://docs.google.com/document/d/1fMjiqXP8uTouGSjF5lxOmDrIz-PRbU1WHKaSuU6xzRw/edit?usp=sharing
ポーカー受付,https://docs.google.com/document/d/1fMjiqXP8uTouGSjF5lxOmDrIz-PRbU1WHKaSuU6xzRw/edit?usp=sharing
ポーカー準備,https://docs.google.com/document/d/1fMjiqXP8uTouGSjF5lxOmDrIz-PRbU1WHKaSuU6xzRw/edit?usp=sharing
ポーカー大会,https://docs.google.com/document/d/1fMjiqXP8uTouGSjF5lxOmDrIz-PRbU1WHKaSuU6xzRw/edit?usp=sharing
ポーカー大会,https://docs.google.com/document/d/1fMjiqXP8uTouGSjF5lxOmDrIz-PRbU1WHKaSuU6xzRw/edit?usp=sharing
ポーカーAL1準備,https://docs.google.com/document/d/1fMjiqXP8uTouGSjF5lxOmDrIz-PRbU1WHKaSuU6xzRw/edit?usp=sharing
ゲーム　マルチメディア準備,https://docs.google.com/document/d/1NibPgowh6lGWb_jWZlNV4NpR8op9crBl/edit?usp=sharing&ouid=103449946645111508813&rtpof=true&sd=true
ゲーム運営,https://docs.google.com/document/d/1NibPgowh6lGWb_jWZlNV4NpR8op9crBl/edit?usp=sharing&ouid=103449946645111508813&rtpof=true&sd=true
ドキュメンタリー撮影,https://docs.google.com/document/d/1xT9m0VPOzYo-UQR57fRzPHJ1sarpqd2tsTm2Y0hSoxE/edit?usp=sharing
ヒーローショー,https://docs.google.com/document/d/1uHeIsMm-7niWlZmnrp_LtVvy1zU8DAV5KuSIUob3DcA/edit?usp=sharing
カラオケ受付,https://docs.google.com/document/d/1ug0Nowtia47s19PHZYebb6AQKmzytWkP8MHzU5TYfxw/edit?usp=sharing
カラオケ大会準備＋運営,https://docs.google.com/document/d/1cV6lGC4eS-G7T1vHtcAaCOg7q6tLsN6R_ETgW7za8KQ/edit?usp=sharing
学籍番号抽選会設営,https://docs.google.com/document/d/1KsHt6YJxGEURMjoJaqOX-uBFI682zrfTOi8tYYCptbo/edit?usp=sharing
抽選会システム操作,https://docs.google.com/document/d/1KsHt6YJxGEURMjoJaqOX-uBFI682zrfTOi8tYYCptbo/edit?usp=sharing
抽選会受付,https://docs.google.com/document/d/1KsHt6YJxGEURMjoJaqOX-uBFI682zrfTOi8tYYCptbo/edit?usp=sharing
抽選会呼びかけ,https://docs.google.com/document/d/1KsHt6YJxGEURMjoJaqOX-uBFI682zrfTOi8tYYCptbo/edit?usp=sharing
抽選会整列管理,https://docs.google.com/document/d/1KsHt6YJxGEURMjoJaqOX-uBFI682zrfTOi8tYYCptbo/edit?usp=sharing
学籍番号抽選会,https://docs.google.com/document/d/1KsHt6YJxGEURMjoJaqOX-uBFI682zrfTOi8tYYCptbo/edit?usp=sharing
